11.505000000000001;A1;C03;    · Maximum delay = 0.0287 s
11.505000000000001;A1;C03;    · Minimum delay = 0.0000 s
11.505000000000001;A1;C03;    · Associated reward = 0.270222
11.505000000000001;A1;F00; ComputeNewConfiguration()
11.505000000000001;A1;F00; SendNewConfigurationToAp()
11.505000000000001;A1;C03;  - Action (1):
11.505000000000001;A1;C03;    · channel = 1
11.505000000000001;A1;C03;    · cca = -82.000000 dBm
11.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
11.505000000000001;A1;C03;    · max_bandwidth = 1
11.505000000000001;A1;C00;  - Next request to be sent at 12.005000
12.005000000000001;A1;F00; RequestInformationToAp() (request #23)
12.005000000000001;A1;F00; InportReceivingInformationFromAp()
12.005000000000001;A1;C03;  - Action (1):
12.005000000000001;A1;C03;    · channel = 1
12.005000000000001;A1;C03;    · cca = -82.000000 dBm
12.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
12.005000000000001;A1;C03;    · max_bandwidth = 1
12.005000000000001;A1;C03;  - Performance:
12.005000000000001;A1;C03;    · Average throughput = 4.56 Mbps
12.005000000000001;A1;C03;    · Average delay = 0.0026 s
12.005000000000001;A1;C03;    · Maximum delay = 0.0230 s
12.005000000000001;A1;C03;    · Minimum delay = 0.0001 s
12.005000000000001;A1;C03;    · Associated reward = 0.103932
12.005000000000001;A1;F00; ComputeNewConfiguration()
12.005000000000001;A1;F00; SendNewConfigurationToAp()
12.005000000000001;A1;C03;  - Action (0):
12.005000000000001;A1;C03;    · channel = 0
12.005000000000001;A1;C03;    · cca = -82.000000 dBm
12.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
12.005000000000001;A1;C03;    · max_bandwidth = 1
12.005000000000001;A1;C00;  - Next request to be sent at 12.505000
12.505000000000001;A1;F00; RequestInformationToAp() (request #24)
12.505000000000001;A1;F00; InportReceivingInformationFromAp()
12.505000000000001;A1;C03;  - Action (0):
